Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Belize,BLZ,..,..,18.7,..,..,..,..,..,..,10.8,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Benin,BEN,79.3,74.3,70.8,..,69.8,..,..,..,..,61.5,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Bhutan,BTN,70,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Bolivia,BOL,62.2,54.3,48.8,..,47.3,..,..,..,..,43.5,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Botswana,BWA,59.2,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Brazil,BRA,36.7,31.5,28,..,26.9,..,..,..,..,22.3,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Burkina Faso,BFA,78.8,65.9,59.5,..,..,..,..,..,..,65.8,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Burundi,BDI,..,..,64.3,..,..,..,..,..,..,57.9,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Cabo Verde,CPV,70.3,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Cambodia,KHM,..,..,..,..,..,..,..,..,..,55.1,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Cameroon,CMR,50.8,48.4,46.6,..,46.1,..,..,..,..,37.8,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Central African Republic,CAF,87.5,91.9,95,..,95.9,..,..,..,..,93.3,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Chad,TCD,98.9,93.9,90.3,..,89.3,..,..,..,..,88.2,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,China,CHN,43.6,37.3,31,..,29.1,..,..,..,..,25.2,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Colombia,COL,31.2,22.3,16.1,..,14.3,..,..,..,..,13.1,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Comoros,COM,65.4,65.4,68.9,..,..,..,..,..,..,69.6,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,"Congo, Dem. Rep.",COD,..,..,69.1,..,61.7,..,..,..,..,74.8,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,"Congo, Rep.",COG,..,..,51.7,..,49.9,..,..,..,..,46.9,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,5.5,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Cote d'Ivoire,CIV,53.4,55.3,56.6,..,57,..,..,..,..,56,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,65.6,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Dominica,DMA,16.6,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Dominican Republic,DOM,27.9,21,16.2,..,14.8,..,..,..,..,12.1,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Ecuador,ECU,..,..,..,..,..,..,..,..,..,36,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,"Egypt, Arab Rep.",EGY,50.2,28.1,14.4,..,13.1,..,..,..,..,10.6,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,66.2,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Eritrea,ERI,69.9,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Ethiopia,ETH,95.5,88.6,79.1,..,76.4,..,..,..,..,73.9,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..,37,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,"Gambia, The",GMB,..,..,34.8,..,..,..,..,..,..,34.8,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Ghana,GHA,65.5,52.1,42.8,..,40.1,..,..,..,..,37.9,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Guatemala,GTM,58.6,48.1,40.8,..,38.7,..,..,..,..,34.5,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Guinea,GIN,80.4,57.3,45.7,..,..,..,..,..,..,43.3,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,82.3,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Guyana,GUY,..,..,33.5,..,33.2,..,..,..,..,33.1,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Haiti,HTI,93.4,93.4,70.1,..,70.1,..,..,..,..,74.4,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Honduras,HND,..,..,..,..,..,..,..,..,..,27.5,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,India,IND,54.9,41.5,32.1,..,29.4,..,..,..,..,24,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Indonesia,IDN,50.8,34.4,23,..,23,..,..,..,..,21.8,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,"Iran, Islamic Rep.",IRN,51.9,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Iraq,IRQ,16.9,16.9,52.8,..,52.8,..,..,..,..,47.2,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Jordan,JOR,..,..,17.7,..,19.6,..,..,..,..,12.9,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Kenya,KEN,54.9,54.8,54.8,..,54.7,..,..,..,..,56,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,"Korea, Dem. People’s Rep.",PRK,68.5,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,31.4,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Lesotho,LSO,..,..,44.4,..,53.7,..,..,..,..,50.8,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Liberia,LBR,..,..,..,..,68.3,..,..,..,..,65.7,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Libya,LBY,35.2,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,"Macedonia, FYR",MKD,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Madagascar,MDG,93,84.1,78,..,76.2,..,..,..,..,77.2,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Malawi,MWI,66.4,66.4,67.7,..,68.9,..,..,..,..,66.7,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Malaysia,MYS,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Mali,MLI,94.2,75.4,65.9,..,65.9,..,..,..,..,56.3,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Mauritania,MRT,..,..,..,..,..,..,..,..,..,79.9,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Mexico,MEX,23.1,19.9,14.4,..,..,..,..,..,..,11.1,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Moldova,MDA,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Mongolia,MNG,68.5,64.9,57.9,..,..,..,..,..,..,42.7,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Morocco,MAR,37.4,24.2,13.1,..,13.1,..,..,..,..,13.1,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Mozambique,MOZ,75.6,78.2,80,..,80.5,..,..,..,..,80.3,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Myanmar,MMR,..,..,..,..,..,..,..,..,..,41,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Namibia,NAM,34.4,33.9,33.6,..,33.5,..,..,..,..,33.2,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Nepal,NPL,70.6,64,59.4,..,58.1,..,..,..,..,54.3,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Nicaragua,NIC,89.1,60,45.5,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Niger,NER,83.6,82.6,81.9,..,81.7,..,..,..,..,70.1,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Nigeria,NGA,77.3,69.6,64.2,..,62.7,..,..,..,..,50.2,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Oman,OMN,60.5,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Pakistan,PAK,51,48.7,47,..,46.6,..,..,..,..,45.5,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Panama,PAN,..,..,..,..,..,..,..,..,..,25.8,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Paraguay,PRY,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Peru,PER,66.4,46.2,36.1,..,..,..,..,..,..,34.2,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Philippines,PHL,54.3,47.2,42.3,..,40.9,..,..,..,..,38.3,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Portugal,PRT,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Romania,ROU,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Rwanda,RWA,96,79.7,68.3,..,65.1,..,..,..,..,53.2,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,86.6,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Senegal,SEN,70.6,48.9,41.1,..,38.8,..,..,..,..,39.4,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Sierra Leone,SLE,..,..,..,..,..,..,..,..,..,75.6,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Somalia,SOM,..,..,73.6,..,73.6,..,..,..,..,73.6,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,South Africa,ZAF,46.2,33.2,23,..,23,..,..,..,..,23,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,95.6,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Spain,ESP,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Sri Lanka,LKA,24.8,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Sudan,SDN,..,..,..,..,..,..,..,..,..,91.6,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Suriname,SUR,..,..,..,..,..,..,..,..,..,7.3,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Swaziland,SWZ,..,..,..,..,..,..,..,..,..,32.7,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Syrian Arab Republic,SYR,..,..,22.5,..,..,..,..,..,..,19.3,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Tajikistan,TJK,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Tanzania,TZA,77.4,70.1,65,..,63.5,..,..,..,..,50.7,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Thailand,THA,..,..,26.5,..,27,..,..,..,..,25,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Togo,TGO,..,..,..,..,..,..,..,..,..,51.2,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Tunisia,TUN,..,..,..,..,..,..,..,..,..,8,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Turkey,TUR,23.4,17.9,14.1,..,13,..,..,..,..,11.9,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
